id;post_id;account_id;username;account_name;description;duration;published_at;permalink;post_type;views;reach;likes;shares;follows;comments;saves;created_at;updated_at
4909e432-8d67-4b8f-8a02-1b7f4a7b899a;17906421183180855;17841403684060377;nadsongl;Nadson;Economizaram meu passa tempo 🥲;15;2026-11-02 15:41:00+00;https://www.instagram.com/reel/DUoaJBvj83L/;Reel do Instagram;1734;1286;71;1;0;9;1;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
e002d972-6182-46a2-86d0-bc0426dadf61;17913519363292027;17841403684060377;nadsongl;Nadson;;19;2026-10-02 15:34:00+00;https://www.instagram.com/reel/DUl0fckgaiB/;Reel do Instagram;3313;2155;276;6;0;2;4;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
4e01eec2-1dc4-4e54-b859-80d402e51e3f;17880312045375582;17841403684060377;nadsongl;Nadson;;0;2026-10-02 11:15:00+00;https://www.instagram.com/reel/DUlWJAnjrEK/;Reel do Instagram;1468;1150;111;1;0;11;7;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
b013e695-19a9-4c03-8533-fd023e17db0a;18091211069144536;17841403684060377;nadsongl;Nadson;;0;2026-09-02 12:53:00+00;https://www.instagram.com/reel/DUi9SHojgLx/;Reel do Instagram;1593;1301;154;13;0;4;6;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
1c04dcbb-b2c9-409c-8483-63e32e2f9456;17930410500081546;17841403684060377;nadsongl;Nadson;Se permita fzr oq tu sabe;44;2026-09-02 11:59:00+00;https://www.instagram.com/reel/DUi3C8Ijs-5/;Reel do Instagram;1658;1393;53;0;3;0;3;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
e8609505-d896-4feb-b420-c4e41e35c8ea;18072126824412603;17841403684060377;nadsongl;Nadson;História;0;2026-09-02 10:32:00+00;https://www.instagram.com/reel/DUitLfujnmA/;Reel do Instagram;1333;1180;82;2;0;2;1;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
cffb2f0b-4725-4521-8e9e-da114fd2507a;18115554010622045;17841403684060377;nadsongl;Nadson;;0;2026-08-02 18:33:00+00;https://www.instagram.com/reel/DUg_fikASmA/;Reel do Instagram;6871;4399;771;60;5;14;24;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
e905b9ae-01ff-4240-b05d-793bdce48fdf;18058175345675417;17841403684060377;nadsongl;Nadson;Eu indo conhecer meu sogro;0;2026-08-02 13:49:00+00;https://www.instagram.com/reel/DUget6kAYeq/;Reel do Instagram;3409;2288;274;18;2;3;2;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
f5fc0923-8528-42a2-a5d8-f99a428d464c;17986850390945227;17841403684060377;nadsongl;Nadson;;0;2026-08-02 08:11:00+00;https://www.instagram.com/reel/DUf4PJ2jtPs/;Reel do Instagram;2291;1946;202;9;3;7;9;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
9cffd0a5-8875-417a-a688-9437f5b1bbff;17911911801288835;17841403684060377;nadsongl;Nadson;Essa vida de adulto é barril 🤦🏾‍♀️;40;2026-07-02 16:04:00+00;https://www.instagram.com/reel/DUeJerAgbjQ/;Reel do Instagram;208538;135576;16159;7943;126;167;588;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
b8a719b2-25c3-4c68-871b-89fc3361aae9;18111937990644135;17841403684060377;nadsongl;Nadson;Complicado… 🤦🏾‍♀️;46;2026-07-02 12:59:00+00;https://www.instagram.com/reel/DUd0XhYjiCF/;Reel do Instagram;18673;12362;2180;116;13;21;55;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
1782d541-05c4-44c6-9a14-ec7fecc032f5;17915051964128301;17841403684060377;nadsongl;Nadson;;0;2026-07-02 12:33:00+00;https://www.instagram.com/reel/DUdxWTUjpd0/;Reel do Instagram;3132;2570;324;10;7;13;27;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
4e3cdd41-662a-411c-9471-c916b72ba3ea;18300121849279534;17841403684060377;nadsongl;Nadson;Altas emoções pro turista 🥲;40;2026-07-02 10:08:00+00;https://www.instagram.com/reel/DUdg3g5jq9b/;Reel do Instagram;7104;5599;677;23;0;15;13;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
b0e1f140-4d28-4c17-ab58-b1987f67d4f4;18111865342651746;17841403684060377;nadsongl;Nadson;"Infelizmente, problemas com a qualidade do atendimento e episódios de discriminação contra pessoas negras têm se tornado cada vez mais comuns. Assim como Bielle fez ao expor sua indignação, deve ser um hábito NÃO SE CALAR DIANTE DO ERRO.

Reclamar e exigir respeito é um direito que precisa ser exercido sempre e de forma ATIVA! Não é esperar que o outro faça! É VOCÊ tomar as rédeas da situação e lutar contra a injustiça que VOCÊ sofre (assim como ela fez), sem terceirizar sua voz. É uma ação individual necessária para que se alcance o impacto coletivo.

Não terceirize sua responsabilidade, não seja covarde e meta o louco 💪🏾

Video original completo: @bielle.e";88;2026-04-02 17:50:00+00;https://www.instagram.com/reel/DUWm_pPgdAZ/;Reel do Instagram;2340;1946;116;2;1;7;4;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
db376b17-e871-462c-b273-8dade0963792;18085806853927010;17841403684060377;nadsongl;Nadson;;26;2026-04-02 16:41:00+00;https://www.instagram.com/reel/DUWfbRSgXG-/;Reel do Instagram;2121;1628;103;12;0;5;1;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
58c22caf-0cbd-40e1-b45e-5b7ed4c88200;18092155583067204;17841403684060377;nadsongl;Nadson;;0;2026-04-02 14:58:00+00;https://www.instagram.com/reel/DUWTsRYgUtZ/;Reel do Instagram;1213;1058;35;4;0;1;3;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
b7853b1e-c191-4483-b62c-018678c7be53;17955890822918669;17841403684060377;nadsongl;Nadson;;52;2026-04-02 13:45:00+00;https://www.instagram.com/reel/DUWLQYbAXlT/;Reel do Instagram;1610;1362;70;10;3;4;10;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
55317b13-d385-41fd-a85d-5549f9d2e473;18090341624037379;17841403985944781;eunikogl;Niko;Já mentiram no currículo??? KKKK;27;2026-02-02 18:58:00+00;https://www.instagram.com/reel/DURlg15DHAP/;Reel do Instagram;135134;0;8995;831;0;68;0;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
fe158b8f-549f-4af5-a189-4926ebf65b2c;18165438772394563;17841403684060377;nadsongl;Nadson;;43;2026-02-02 12:44:00+00;https://www.instagram.com/reel/DUQ6u2jjkX4/;Reel do Instagram;2229;1670;173;4;2;1;3;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
8ee05ca7-458d-436b-9518-2e0e497bf44b;18310432297266858;17841403684060377;nadsongl;Nadson;Aql pessoa rancorosa do trabalho 😅🤣;0;2026-02-02 09:52:00+00;https://www.instagram.com/reel/DUQnAvSjkvH/;Reel do Instagram;1965;1504;159;5;4;0;0;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
e9623bec-80fa-41eb-8c15-023d0466d546;18309578812249294;17841403684060377;nadsongl;Nadson;;0;2026-02-02 08:36:00+00;https://www.instagram.com/reel/DUQeYB3DhpI/;Reel do Instagram;1921;1350;152;4;0;0;2;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
223f4a04-8ed9-4cb6-b92b-e2e0fe3aec7b;17987049575941420;17841403684060377;nadsongl;Nadson;Odeio gnt rançosa 🤦🏾‍♀️;43;2026-02-02 07:50:00+00;https://www.instagram.com/reel/DUQZAJUjtDU/;Reel do Instagram;3482;2460;251;20;1;8;5;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
6864d427-dcfb-40f2-b192-c7c9b9e51ad5;18176873761373423;17841403684060377;nadsongl;Nadson;É cada coisa q me inventam 🤦🏾‍♀️;47;2026-01-02 12:40:00+00;https://www.instagram.com/reel/DUOVVyujhrQ/;Reel do Instagram;935877;593568;125020;18198;534;694;4228;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
9c231900-4e2f-4759-871f-ce47fac22417;18066173213542874;17841403684060377;nadsongl;Nadson;Receber elogios é muito bom;24;2028-07-01 19:10:00+00;https://www.instagram.com/reel/DUMdSWbgZRH/;Reel do Instagram;2124;1382;147;2;2;12;4;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
542d392b-d696-426b-8ad1-f08b8a665e45;18096684133945790;17841403684060377;nadsongl;Nadson;Não se compare;0;2028-07-01 18:51:00+00;https://www.instagram.com/reel/DUMbI4WAaH3/;Reel do Instagram;1236;1103;86;1;2;0;4;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
aad4028d-384a-4cfc-9209-4d969804e1e8;18206968453319105;17841403684060377;nadsongl;Nadson;Não se mede sua evolução com a trena dos outros;65;2028-07-01 17:50:00+00;https://www.instagram.com/reel/DUMT_3tga5O/;Reel do Instagram;1719;1388;159;9;4;5;18;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
708f1891-a04e-42db-9bfa-ea1ae2637097;17872823028527995;17841403684060377;nadsongl;Nadson;O roteiro vai se criando;25;2028-07-01 17:06:00+00;https://www.instagram.com/reel/DUMPItiATeK/;Reel do Instagram;2631;2001;176;5;6;16;5;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
ef719281-031e-4f03-9a50-46a19d720190;18562392820052897;17841403684060377;nadsongl;Nadson;Calor desse;13;2028-07-01 13:43:00+00;https://www.instagram.com/reel/DUL3-J7AQya/;Reel do Instagram;2813;1808;145;2;3;1;3;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
4c4b5776-d056-47cf-a730-ca207e34d8a0;17938167222147199;17841403684060377;nadsongl;Nadson;;0;2028-06-01 14:15:00+00;https://www.instagram.com/reel/DUJWtx-gcS1/;Reel do Instagram;3827;3063;347;24;8;14;26;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
a334b37e-6676-4edb-95e6-a0f3f622709a;18056920289375560;17841403684060377;nadsongl;Nadson;Na cidade de vcs é assim tbm?😅;45;2028-05-01 17:12:00+00;https://www.instagram.com/reel/DUHGIxMAU2l/;Reel do Instagram;1657;1305;136;22;0;11;1;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
61b60ba5-7d23-4bd3-887b-8f63536e368b;18302325868272692;17841403684060377;nadsongl;Nadson;É difícil 🤦🏾‍♀️;34;2028-05-01 15:09:00+00;https://www.instagram.com/reel/DUG4KWSgbXG/;Reel do Instagram;11029;7363;1085;26;3;22;27;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
