"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
17983860569945480,17841403684060377,nadsongl,Nadson,"E tem tempo ruim é? 😅",46,"01/11/2026 16:15",https://www.instagram.com/reel/DTY9vZLDuFq/,"Reel do Instagram",,Total,2200,1779,73,0,1,5,1
18552136339054278,17841403684060377,nadsongl,Nadson,"Ficar triste como vei? E tem como?",21,"01/11/2026 08:20",https://www.instagram.com/reel/DTYHphHDodn/,"Reel do Instagram",,Total,3070,2338,164,2,2,11,0
17987048663766281,17841403684060377,nadsongl,Nadson,🤔🤔🤔,51,"01/11/2026 07:56",https://www.instagram.com/reel/DTYE2KdDk8G/,"Reel do Instagram",,Total,3333,2407,146,15,1,16,13
18156599095420891,17841403684060377,nadsongl,Nadson,"O famoso antes só do que mal acompanhado",44,"01/10/2026 18:55",https://www.instagram.com/reel/DTWrk-gjtBs/,"Reel do Instagram",,Total,2508,2149,103,6,0,5,5
18092487155298218,17841403684060377,nadsongl,Nadson,"Perder o medo do resultado.",54,"01/09/2026 09:49",https://www.instagram.com/reel/DTTIRwJDvXC/,"Reel do Instagram",,Total,435,357,21,2,1,3,3
18373419979088679,17841403684060377,nadsongl,Nadson,"Não jogue no seguro",65,"01/09/2026 07:42",https://www.instagram.com/reel/DTS5wPtjiIg/,"Reel do Instagram",,Total,3139,2545,210,42,8,9,56
18305751205249825,17841403684060377,nadsongl,Nadson,"Burrice é uma doença",58,"01/08/2026 12:11",https://www.instagram.com/reel/DTQzo_AAVEw/,"Reel do Instagram",,Total,2296,1900,185,16,2,9,12
18113134306719517,17841403684060377,nadsongl,Nadson,Críticas,42,"01/08/2026 07:10",https://www.instagram.com/reel/DTQROkbjsio/,"Reel do Instagram",,Total,523,393,25,2,0,4,3
18067749362531673,17841403684060377,nadsongl,Nadson,"Quem precisa de motivação é viciado",49,"01/07/2026 12:12",https://www.instagram.com/reel/DTOO7IrgTDc/,"Reel do Instagram",,Total,3167,2444,202,29,4,9,23
18074784467064008,17841403684060377,nadsongl,Nadson,"Estresse zero 🧘🏾",16,"01/07/2026 06:41",https://www.instagram.com/reel/DTNpD4cDqy4/,"Reel do Instagram",,Total,2783,1989,113,15,0,8,2
17945078994087774,17841403684060377,nadsongl,Nadson,"Fica o aprendizado!",62,"01/06/2026 11:16",https://www.instagram.com/reel/DTLjzyLAZ8r/,"Reel do Instagram",,Total,2728,2161,134,65,0,9,5
18297519322274955,17841403684060377,nadsongl,Nadson,"Como lidar com gente folgada",47,"01/06/2026 07:12",https://www.instagram.com/reel/DTLHz7MjtQQ/,"Reel do Instagram",,Total,2954,2298,222,13,6,4,18
17995642841888936,17841403684060377,nadsongl,Nadson,"Tenha amigos loucos",21,"01/05/2026 12:51",https://www.instagram.com/reel/DTJJlRvAcJ7/,"Reel do Instagram",,Total,3092,2090,151,14,4,14,3
18103808443685481,17841403684060377,nadsongl,Nadson,"Nem tudo q é óbvio é trivial",39,"01/04/2026 11:59",https://www.instagram.com/reel/DTGfI9mAcJr/,"Reel do Instagram",,Total,5627,4211,355,33,6,21,45
18549948478058417,17841403684060377,nadsongl,Nadson,"Respeite o tempo!",57,"01/04/2026 11:22",https://www.instagram.com/reel/DTGa7LGgbWN/,"Reel do Instagram",,Total,2755,2135,177,4,2,9,11
17918691708235913,17841403684060377,nadsongl,Nadson,"Perfeccionismo é freio",84,"01/03/2026 13:45",https://www.instagram.com/reel/DTEGbNygdo1/,"Reel do Instagram",,Total,2564,2216,73,1,3,4,3
17940041669984383,17841403684060377,nadsongl,Nadson,"Como lidar com fracasso 1.0",118,"01/03/2026 08:55",https://www.instagram.com/reel/DTDlLGUjkKO/,"Reel do Instagram",,Total,1455,1207,71,3,4,4,2
17950307127065780,17841403684060377,nadsongl,Nadson,"Vá mesmo com medo",103,"01/02/2026 15:53",https://www.instagram.com/reel/DTBwQ5vgW9X/,"Reel do Instagram",,Total,2834,2322,167,59,2,14,18
18052518803395484,17841403684060377,nadsongl,Nadson,"Venda alguma coisa!",79,"01/02/2026 11:38",https://www.instagram.com/reel/DTBTI_4gd8L/,"Reel do Instagram",,Total,2250,1880,91,6,1,5,8
17981429918952565,17841403684060377,nadsongl,Nadson,"Nem tudo que é óbvio é trivial pt 2",102,"01/05/2026 10:57",https://www.instagram.com/reel/DTI81llAeFy/,"Reel do Instagram",,Total,3026,2453,214,22,10,8,17
